,SSC-H,SSC-A,FSC-H,FSC-A
17104,17784.0,17525.0625,3121.0,4049.08984375
17105,52959.0,52307.48828125,7466.0,12956.5751953125
17106,132142.0,128296.953125,6545.0,17012.884765625
17107,1529.0,1379.49755859375,8099.0,8527.580078125
17111,1625.0,1094.0081787109375,6070.0,1625.0699462890625
17112,108774.0,105842.796875,7189.0,10790.099609375
17113,3251.0,4879.2001953125,3782.0,2606.705078125
17114,3409629.0,3426686.5,60255.0,79801.234375
17115,274420.0,296058.96875,6014.0,22330.224609375
17116,891427.0,887103.75,7316.0,28116.009765625
17117,31689.0,30939.654296875,3837.0,3863.93505859375
17118,276559.0,269896.0,3561.0,800.469970703125
17119,241398.0,241701.90625,8113.0,3654.079833984375
17120,69137.0,68059.625,3797.0,-6306.0048828125
17121,1670.0,1151.453857421875,4098.0,2049.43505859375
17122,222843.0,224182.53125,1901.0,-9230.4853515625
17123,261245.0,519795.71875,8161.0,19612.46484375
17124,200060.0,195180.921875,5388.0,2614.2099609375
17125,248693.0,251445.265625,9125.0,11061.3251953125
17126,115755.0,114572.328125,5462.0,-2723.27001953125
17127,1584.0,1284.5350341796875,12812.0,10466.7197265625
17128,224809.0,229035.78125,4575.0,7750.47998046875
17130,5055.0,4594.4462890625,2192.0,1421.10498046875
17131,125951.0,125922.625,6387.0,18582.759765625
17132,301164.0,295566.53125,6772.0,23027.048828125
17133,6191.0,5720.9560546875,5366.0,2228.034912109375
17134,32045.0,31286.533203125,3080.0,2880.304931640625
17136,270662.0,267517.125,10847.0,29287.9296875
17137,2832.0,2287.927490234375,5060.0,81.69999694824219
17138,94267.0,93245.6875,6735.0,11844.5048828125
17140,125769.0,124920.4296875,7778.0,16822.029296875
17141,1966.0,1851.5682373046875,4769.0,6119.4248046875
17142,9526.0,8366.1298828125,2562.0,-209.0
17143,188558.0,188427.484375,4363.0,2298.14501953125
17145,42992.0,41725.1875,5531.0,11443.984375
17146,4099.0,3565.641357421875,4565.0,2192.599853515625
17147,195797.0,193929.15625,4875.0,1898.0999755859375
17148,324709.0,328589.3125,2467.0,-2184.239990234375
17149,2436697.0,2417411.75,18917.0,8245.14453125
17151,47694.0,45257.19140625,2997.0,-4595.625
17152,6991.0,6985.1611328125,2261.0,-7900.580078125
17153,217913.0,223502.546875,4491.0,-4687.39501953125
17154,10729.0,10673.3173828125,2289.0,-1077.7750244140625
17155,2793.0,2162.871337890625,3407.0,2443.494873046875
17156,219806.0,213965.5,3761.0,-3382.18994140625
